"","tm","taxise_tm","download_tm","cluster_tm","cluster2_tm","nsqs","ncls","nmerged","nsubtree","ndirect","nparaphyly","ntx","median_tx_per_cl","median_sq_per_cl","median_sqlngth"
"defaults",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mnsql_100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mnsql_500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mxsql_1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
